Count ,Camera,Zone,Location
58,FP81,Friary Park ,Friary House by Playground
59,GG150,Golders Green ,Golders Green Road next to Ambrose Avenue
60,GG151,Golders Green ,"O/S 12 Golders Green Road, opposite Highfield Avenue next to Alba Gdns"
61,GG20,Golders Green ,"On centre traffic island, Finchley Road, adjacent to War Memorial, opposite Golders Green LT station"
62,GG21,Golders Green ,Outside 34 Golders Green Road opposite Warman-Freed Chemist
63,GG22,Golders Green ,109 Golders Green Road junction with Armitage Road
64,GG23,Golders Green ,Golders Green Road outside library opposite Powis Gardens
65,GG24,Golders Green ,Opposite 592 Finchley Road junction with Helenslea Avenue
66,GG28,Golders Green ,"Hodford Road roundabout with Rodborough Road, The Ridgeway, The Vale"
67,GG29,Golders Green ,Golders Way - behind shops in GG Rd.
68,GP25,Grahame Park Estate ,"The Concourse South, adjacent to Hudson, The Community, Medical and Children's Centre"
69,GP26,Grahame Park Estate ,"The Concourse North, adjacent to Moineau."
70,GP27,Grahame Park Estate ,Quakers Course opposite the bus stop.
71,H108,Hendon/Hendon Central,Church Road adjacent Middlesex University (The Burroughs)
72,H109,Hendon/Hendon Central,Church Road junction with Sunny Gardens Road
73,H110,Hendon/Hendon Central,"O/S Lloyds Bank, Brent Street junction with 5 Finchley Lane / Parsons Street"
74,H111,Hendon/Hendon Central,154 Brent Street opposite Brampton Grove
75,H112,Hendon/Hendon Central,69 Brent Street opposite Bell Lane
76,H148,Hendon/Hendon Central,Station Road (A504) adj to Midland Hotel
77,H149,Hendon/Hendon Central,The Boroughs Adj to Egerton Gdns (Opp Town Hall)
78,H156,Hendon/Hendon Central,"Montague Road, Hendon opposite school"
79,H32,Hendon/Hendon Central,Watford Way junction with Station Road (on West side of A41)
80,H82,Hendon/Hendon Central,Watford Way outside Underground Station
81,HB57,High Barnet ,Great North Road junction with Station Road opposite Everyman Cinema
82,HB58,High Barnet ,Barnet Hill junction with Underhill
83,HB59,High Barnet ,"9 High Street junction with Meadway, opposite Queen Elizabeth's Girls School"
84,HB62,High Barnet ,"High Street near Wood Street, O/S Mayhek Restaurant"
85,HB63,High Barnet ,45 High Street opposite Fitzjohn Avenue
86,HB64,High Barnet ,"59 High Street junction with Church Passage, O/S High Barnet Dental Care"
87,HB66,High Barnet ,"128 High Street opposite Salisbury Road, O/S Caffé Nero"
88,HB67,High Barnet ,"139 High Street junction with St Albans Road, O/S Flooring"
89,HS40,Hampden Square ,East Side of Hampden Square Roundabout
90,MB135,Hendon,A406 Westbound Underpass - Mutton Brook                      (Bridge Lane entrance/Exit)
91,MB136,Hendon,A406 Eastbound Underpass - Mutton Brook         (Southbourne Crescent entrance/exit)
92,MH91,Mill Hill ,86 The Broadway junction with Flower Lane near junction with Hartley Avenue
93,MH92,Mill Hill ,The Broadway J/W Brockenhurst Gardens
94,MH93,Mill Hill ,The Broadway outside 75-77 (Kiyoto Sushi Bar)
95,MH94,Mill Hill ,O/S 11A The Broadway opposite Station Road
96,NB100,New Barnet ,East Barnet Road junction with Victoria Road (Outside Railway Bell PH)
97,NB160,New Barnet ,Lytton Road/Station Road EN4 8RR
98,NB96,New Barnet ,"155 East Barnet Road junction with Brookhill Road, opposite Esso petrol station and Tesco Express"
99,NB97,New Barnet ,"139 East Barnet Road junction with Victoria Road, opposite Henry Road"
100,NB98,New Barnet ,79-81 East Barnet Road junction with Margaret Road
101,NB99,New Barnet ,45 East Barnet Road opposite Sainsburys
102,TF140,Temple Fortune ,Finchley Road junction with Addison Way
103,TF141,Temple Fortune ,858 Finchley Road opposite Alberon Gardens
104,TF142,Temple Fortune ,Finchley Road opposite Hallswelle Road
105,TF143,Temple Fortune ,"Finchley Road opposite Temple Fortune Mansions, opposite Waitrose"
106,TF144,Temple Fortune ,O/S 1117 Finchley Road junction with Bridge Lane
107,TF145,Temple Fortune ,Finchley Road junction with Clifton Gardens
108,TfL35,Burnt Oak ,140 Burnt Oak Broadway junction with Barnfield Road HA8
109,TfL49,A5 Edgware Road ,"163 West Hendon Broadway (Opp 204) junction with Milton Road, NW9"
110,TfL50,A5 Edgware Road ,"236 West Hendon Broadway (Opp 191) junction with Station Road, NW9"
111,TfL51,A5 Edgware Road ,A5 The Hyde - opposite Royal Mail Sorting Office (adj to Malvern Court)
112,TfL52,A5 Edgware Road ,"West Hendon Broadway junction with Garrick Road, Opp BP (or Texaco?) Garage, NW9"
113,TfL53,A5 Edgware Road ,A5 The Hyde junction with Rushgrove Avenue outside Premier Inn.
114,TfL54,Cricklewood ,"O/S beacon Bingo, A5 Cricklewood Broadway junction with Depot Approach"
115,TfL55,A5 Edgware Road ,A5 Edgware Road opposite Grove Park
116,TH11,North Finchley ,836 High Road opposite Avenue Road                           (Outside Sainsburys)
117,TH12,North Finchley ,Woodhouse Road opposite Lambert Way
118,TH152,North Finchley ,"High Road junction Ballards lane, near Christchurch Ave"
119,TH153,North Finchley ,High Road A1000-Opposite Leisure Way
120,TH154,North Finchley ,High Road A1000-Opposite Leisure Way
121,TH155,North Finchley ,Woodhouse Road (A1003) j/w Friern Barnet Lane & Colney Hatch Lane
122,TH2,North Finchley ,"309 Ballards Lane junction with the Kingsway and Ballards Lane, centre traffic island"
123,TH3,North Finchley ,690 High Road junction with Nether Street
124,TH4,North Finchley ,Ballards Lane adjacent to Arts Depot opposite Nether Street
125,TH5,North Finchley ,"High Road Tally Ho Corner, opposite Stanhope Road in front of Tally Ho Pub on traffic island"
126,TH7,North Finchley ,"768 High Road The Bohemia PH opposite Percy Road, O/S German Doner Kebab"
127,TH9,North Finchley ,810 High Road junction Torrington Park
128,W122,Whetstone ,High Road junction with Oakleigh Road North on pedestrian island O/S Oak Café
129,W123,Whetstone ,Totteridge Lane opposite Totteridge & Whetstone LT Station
130,W124,Whetstone ,1323 High Road outside Waitrose store
131,W125,Whetstone ,1370 High Road junction with Chandos Avenue
